0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/js/top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/js/jarallax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/js/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/js/aos2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/js/jquery.mb.thumbGallery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/js/responsiveslides.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/js/jquery.ba-cond.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/js/jquery.slitslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/images/1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/images/2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/images/c.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/images/4s.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/images/5s.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/images/info-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/images/info-img1-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/images/info-img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:14:12:22 +0530] "GET /Attacker/images/info-img3-3.jpg HTTP/1.1" 304 -
